Cases_CaseNumber,Products_ProductID,Products_Department,CaseTasks_Department
449727,CRNEZZ,C&B,Outsource Design full contour
449727,CRNEZZ,C&B,Sinter
449727,CRNEZZ,C&B,Stain & Glaze
449727,INFCONT,MISC,Brux Porcelain
449727,INFCONT,MISC,C&B
449727,INFCONT,MISC,CAD Mill crown/coping
449727,INFCONT,MISC,Die Trim
449727,INFCONT,MISC,FIXED MODELS
449727,INFCONT,MISC,Fixed QC
449727,INFCONT,MISC,IMPLANTS
449727,INFCONT,MISC,Sinter
449727,INFCONT,MISC,Outsource Design full contour
449727,SMTCRN,IMPLANTS,Brux Porcelain
449727,INFCONT,MISC,Scan for crowns
449727,SMTCRN,IMPLANTS,C&B
449727,INFCONT,MISC,Stain & Glaze
449727,SMTCRN,IMPLANTS,Die Trim
449727,SMTCRN,IMPLANTS,CAD Mill crown/coping
449727,SMTCRN,IMPLANTS,Fixed QC
449727,SMTCRN,IMPLANTS,FIXED MODELS
449727,SMTCRN,IMPLANTS,Sinter
449727,SMTCRN,IMPLANTS,IMPLANTS
449727,SMTCRN,IMPLANTS,Outsource Design full contour
449727,SMTCRN,IMPLANTS,Scan for crowns
449727,SMTCRN,IMPLANTS,Stain & Glaze
449961,CRNZIRCBR,C&B,CAD Mill crown/coping
449961,CRNZIRCBR,C&B,Brux Porcelain
449961,CRNZIRCBR,C&B,DIGITAL SCAN REVIEW
449961,CRNZIRCBR,C&B,BUILD MODEL
449961,CRNZIRCBR,C&B,FINISHING
449961,CRNZIRCBR,C&B,FIXED MODELS
449961,CRNZIRCBR,C&B,Fixed QC
449961,CRNZIRCBR,C&B,Outsource Design full contour
449961,CRNZIRCBR,C&B,Invoice and Ship
449961,CRNZIRCBR,C&B,PRINT STUDY MODELS
449961,CRNZIRCBR,C&B,SCHEDULING
449961,CRNZIRCBR,C&B,Sinter
449961,CRNZIRCBR,C&B,Stain & Glaze
449961,DIGEZZCRN,C&B,BUILD MODEL
449961,DIGEZZCRN,C&B,Brux Porcelain
449961,DIGEZZCRN,C&B,CAD Mill crown/coping
449961,DIGEZZCRN,C&B,DIGITAL SCAN REVIEW
449961,DIGEZZCRN,C&B,FIXED MODELS
449961,DIGEZZCRN,C&B,FINISHING
449961,DIGEZZCRN,C&B,Invoice and Ship
449961,DIGEZZCRN,C&B,Fixed QC
449961,DIGEZZCRN,C&B,Outsource Design full contour
449961,DIGEZZCRN,C&B,Sinter
449961,DIGEZZCRN,C&B,PRINT STUDY MODELS
449961,DIGMODCADFIX,C&B,CAD Mill crown/coping
449961,DIGEZZCRN,C&B,SCHEDULING
449961,DIGMODCADFIX,C&B,FINISHING
449961,DIGEZZCRN,C&B,Stain & Glaze
449961,DIGMODCADFIX,C&B,FIXED MODELS
449961,DIGMODCADFIX,C&B,Brux Porcelain
449961,DIGMODCADFIX,C&B,Outsource Design full contour
449961,DIGMODCADFIX,C&B,BUILD MODEL
449961,DIGMODCADFIX,C&B,PRINT STUDY MODELS
449961,DIGMODCADFIX,C&B,DIGITAL SCAN REVIEW
449961,DIGMODCADFIX,C&B,SCHEDULING
449961,DIGMODCADFIX,C&B,Fixed QC
449961,DIGMODCADFIX,C&B,Invoice and Ship
449961,DIGMODCADFIX,C&B,Sinter
